"c","photoperiod","photoperiod_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" photo_diff temp_diff flow_diff chinook0_hatchery_perhour_interpolate",0,1,1,0,1,0,1,-1986.76801567103,4051.25928715601,38,123,TRUE,0,1,0.24,0.24
" photo_diff temp_diff lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",0,1,1,0,1,1,1,-1985.93115732139,4051.67732336879,39,117,TRUE,0.42,0.81,0.2,0.44
" photo_diff photoperiod temp_diff flow_diff chinook0_hatchery_perhour_interpolate",1,1,1,0,1,0,1,-1986.13394032288,4052.08288937177,39,116,TRUE,0.82,0.66,0.16,0.6
" photo_diff photoperiod temp_diff lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,1,1,0,1,1,1,-1985.28073885974,4052.47067445988,40,132,TRUE,1.21,0.55,0.13,0.73
" photo_diff temp_diff flow flow_diff chinook0_hatchery_perhour_interpolate",0,1,1,1,1,0,1,-1986.76874265893,4053.35249404386,39,122,TRUE,2.09,0.35,0.09,0.82
" photo_diff temp_diff flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",0,1,1,1,1,1,1,-1985.93085305237,4053.77090284514,40,123,TRUE,2.51,0.28,0.07,0.89
" photo_diff photoperiod temp_diff flow flow_diff chinook0_hatchery_perhour_interpolate",1,1,1,1,1,0,1,-1986.12709013296,4054.16337700632,40,128,TRUE,2.9,0.23,0.06,0.94
" photo_diff photoperiod temp_diff flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,1,1,1,1,1,1,-1985.27095625759,4054.54773662699,41,144,TRUE,3.29,0.19,0.05,0.99
" photoperiod temp_diff flow flow_diff chinook0_hatchery_perhour_interpolate",1,0,1,1,1,0,1,-1990.7105661059,4061.2361409378,39,122,TRUE,9.98,0.01,0,0.99
" photoperiod temp_diff flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,0,1,1,1,1,1,-1989.81184712534,4061.53289099108,40,131,TRUE,10.27,0.01,0,0.99
" photoperiod temp_diff flow_diff chinook0_hatchery_perhour_interpolate",1,0,1,0,1,0,1,-1992.12857503341,4061.98040588078,38,97,TRUE,10.72,0,0,1
" photo_diff temp_diff flow_diff",0,1,1,0,1,0,0,-1994.38637767263,4062.31979367279,36,96,TRUE,11.06,0,0,1
" photoperiod temp_diff lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,0,1,0,1,1,1,-1991.26575920704,4062.34652714009,39,126,TRUE,11.09,0,0,1
" photo_diff photoperiod temp_diff flow_diff",1,1,1,0,1,0,0,-1993.88618506675,4063.40630389294,37,158,TRUE,12.15,0,0,1
" photo_diff temp_diff lunar_phase flow_diff",0,1,1,0,1,1,0,-1994.03381789902,4063.70156955747,37,114,TRUE,12.44,0,0,1
" photo_diff temp_diff flow flow_diff",0,1,1,1,1,0,0,-1994.21554141288,4064.06501658521,37,113,TRUE,12.81,0,0,1
" photo_diff photoperiod temp_diff lunar_phase flow_diff",1,1,1,0,1,1,0,-1993.48837954054,4064.70001489502,38,110,TRUE,13.44,0,0,1
" photo_diff photoperiod temp_diff flow flow_diff",1,1,1,1,1,0,0,-1993.80723744252,4065.337730699,38,123,TRUE,14.08,0,0,1
