"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"function49"," photo_diff temp_diff chinook0_hatchery_perhour_interpolate","None",-1082.95608752715,2206.77283079201,20,76,TRUE,0
"function83"," photo_diff temp_diff lunar_phase chinook0_hatchery_perhour_interpolate","None",-1082.67712067341,2208.30193365451,21,73,TRUE,1.52910286249426
"function13"," photo_diff temp_diff","None",-1084.87443981017,2208.52677112494,19,61,TRUE,1.75394033293014
"function78"," photo_diff temp_diff flow chinook0_hatchery_perhour_interpolate","None",-1082.91936526323,2208.78642283416,21,80,TRUE,2.0135920421485
"function44"," photo_diff temp_diff lunar_phase","None",-1084.72915138412,2210.31895850594,20,79,TRUE,3.54612771392567
"function94"," photo_diff temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1082.64530300704,2210.32962038781,22,88,TRUE,3.556789595792
"function39"," photo_diff temp_diff flow","None",-1084.87439391462,2210.60944356694,20,67,TRUE,3.83661277492183
"function73"," photo_diff temp_diff flow lunar_phase","None",-1084.7287593748,2212.4052110573,21,77,TRUE,5.63238026528552
"function47"," atu_april temp_diff chinook0_hatchery_perhour_interpolate","None",-1086.39037939619,2213.64141453009,20,69,TRUE,6.86858373807172
"function75"," photoperiod temp_diff flow chinook0_hatchery_perhour_interpolate","None",-1085.92076058116,2214.78921347001,21,77,TRUE,8.01638267799353
"function81"," atu_april temp_diff lunar_phase chinook0_hatchery_perhour_interpolate","None",-1086.05526747975,2215.0582272672,21,72,TRUE,8.28539647518346
"function46"," photoperiod temp_diff chinook0_hatchery_perhour_interpolate","None",-1087.10567576567,2215.07200726905,20,61,TRUE,8.2991764770386
"function76"," atu_april temp_diff flow chinook0_hatchery_perhour_interpolate","None",-1086.39003229419,2215.72775689608,21,68,TRUE,8.95492610406291
"function91"," photoperiod temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1085.55547063936,2216.14995565244,22,93,TRUE,9.3771248604271
"function80"," photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_interpolate","None",-1086.76695208413,2216.48159647594,21,67,TRUE,9.70876568393123
"function92"," atu_april temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1086.05447002747,2217.14795442865,22,80,TRUE,10.3751236366379
"function11"," atu_april temp_diff","None",-1090.16008397621,2219.09805945703,19,63,TRUE,12.3252286650204
"function37"," atu_april temp_diff flow","None",-1089.95676975351,2220.77419524472,20,73,TRUE,14.0013644527089
"function42"," atu_april temp_diff lunar_phase","None",-1090.02106937613,2220.90279448997,20,73,TRUE,14.1299636979566
"function45"," temp temp_diff chinook0_hatchery_perhour_interpolate","None",-1090.78897150596,2222.43859874963,20,77,TRUE,15.6657679576124
"function71"," atu_april temp_diff flow lunar_phase","None",-1089.80373277544,2222.55515785858,21,84,TRUE,15.7823270665649
"function12"," resid temp_diff","None",-1092.34372252782,2223.46533656024,19,71,TRUE,16.6925057682297
"function48"," resid temp_diff chinook0_hatchery_perhour_interpolate","None",-1091.34961332054,2223.55988237878,20,75,TRUE,16.7870515867685
"function74"," temp temp_diff flow chinook0_hatchery_perhour_interpolate","None",-1090.34302055605,2223.63373341979,21,71,TRUE,16.8609026277763
"function79"," temp temp_diff lunar_phase chinook0_hatchery_perhour_interpolate","None",-1090.60346691831,2224.15462614431,21,81,TRUE,17.381795352298
