"","c","resid","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function5"," resid temp_diff",1,1,0,0,0,-1092.34372252782,2223.46533656024,19,71,TRUE,0,1,0.186172978978763,0.186172978978763
"function17"," resid temp_diff chinook0_hatchery_perhour_interpolate",1,1,0,0,1,-1091.34961332054,2223.55988237878,20,75,TRUE,0.0945458185387906,0.953827053822485,0.177576824040669,0.363749803019433
"function15"," resid temp_diff flow",1,1,1,0,0,-1091.67841068606,2224.21747710983,20,74,TRUE,0.752140549591331,0.686554083899012,0.127817819029515,0.491567622048948
"function26"," resid temp_diff flow chinook0_hatchery_perhour_interpolate",1,1,1,0,1,-1090.71283497444,2224.37336225658,21,85,TRUE,0.908025696335244,0.635074573648936,0.11823372524989,0.609801347298838
"function27"," resid temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",1,1,0,1,1,-1091.15044097523,2225.24857425816,21,72,TRUE,1.78323769791496,0.409991500921877,0.0763293390826003,0.686130686381438
"function16"," resid temp_diff lunar_phase",1,1,0,1,0,-1092.23639870738,2225.33345315247,20,59,TRUE,1.86811659223167,0.392955739294403,0.0731577405912413,0.75928842697268
"function22"," temp_diff flow chinook0_hatchery_perhour_interpolate",0,1,1,0,1,-1092.47829857648,2225.81725289066,20,70,TRUE,2.35191633042177,0.308523221800308,0.0574386872866892,0.816727114259369
"function30"," resid temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",1,1,1,1,1,-1090.47930037904,2225.99761513179,22,89,TRUE,2.53227857154798,0.281917928025391,0.0524855004880077,0.869212614747377
"function25"," resid temp_diff flow lunar_phase",1,1,1,1,0,-1091.54425153379,2226.03619537527,21,83,TRUE,2.5708588150228,0.276531813295591,0.0514827514636393,0.920695366211016
"function29"," temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",0,1,1,1,1,-1092.14981451946,2227.24732134661,21,85,TRUE,3.78198478636841,0.150921960569453,0.0280975909925306,0.948792957203547
"function11"," temp_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,1,-1094.50896179801,2227.79581510063,19,57,TRUE,4.33047854038614,0.114722481642741,0.0213582261632656,0.970151183366812
"function9"," temp_diff flow",0,1,1,0,0,-1095.0573036661,2228.89249883681,19,68,TRUE,5.42716227656865,0.0662989553526774,0.012343074021188,0.982494257388
"function23"," temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",0,1,0,1,1,-1094.21606102121,2229.29277778013,20,64,TRUE,5.82744121988662,0.0542734235118679,0.0101042449345805,0.992598502322581
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-1094.88495017942,2230.63055609655,20,73,TRUE,7.16521953630672,0.0278030439923153,0.00517617552472694,0.997774677847308
"function1"," temp_diff",0,1,0,0,0,-1098.14488006678,2232.98914663664,18,52,TRUE,9.52381007639269,0.00854930711758412,0.00159164997428498,0.999366327821593
"function10"," temp_diff lunar_phase",0,1,0,1,0,-1098.02665972134,2234.83121094729,19,56,TRUE,11.3658743870456,0.00340354687180506,0.000633648460217799,0.99999997628181
"function6"," resid flow",1,0,1,0,0,-1109.44582078508,2257.66953307476,19,67,TRUE,34.2041965145208,3.73811878677511e-08,6.95936710310404e-09,0.999999983241177
"function19"," resid flow chinook0_hatchery_perhour_interpolate",1,0,1,0,1,-1109.20187154038,2259.26439881847,20,79,TRUE,35.7990622582242,1.68396244556862e-08,3.13508304979873e-09,0.99999998637626
"function18"," resid flow lunar_phase",1,0,1,1,0,-1109.23929959193,2259.33925492157,20,68,TRUE,35.8739183613225,1.62209993060202e-08,3.01991176281424e-09,0.999999989396172
"function2"," flow",0,0,1,0,0,-1111.39102150261,2259.48142950829,18,53,TRUE,36.0160929480453,1.51079238267673e-08,2.8126871850135e-09,0.999999992208859
"function13"," flow chinook0_hatchery_perhour_interpolate",0,0,1,0,1,-1110.37689337944,2259.53167826349,19,67,TRUE,36.0663417032506,1.47330752798686e-08,2.74290051437152e-09,0.99999999495176
"function28"," resid flow lunar_phase chinook0_hatchery_perhour_interpolate",1,0,1,1,1,-1108.9363626878,2260.8204176833,21,82,TRUE,37.3550811230584,7.73476633994772e-09,1.44000449121273e-09,0.999999996391764
"function24"," flow lunar_phase chinook0_hatchery_perhour_interpolate",0,0,1,1,1,-1110.02974098139,2260.92013770048,20,71,TRUE,37.4548011402353,7.35856739833137e-09,1.36996641356336e-09,0.999999997761731
"function12"," flow lunar_phase",0,0,1,1,0,-1111.15163581014,2261.08116312488,19,57,TRUE,37.6158265646345,6.78933198553003e-09,1.26399016102193e-09,0.999999999025721
"function"," resid",1,0,0,0,0,-1113.18531124687,2263.0700089968,18,49,TRUE,39.6046724365574,2.51162415771448e-09,4.67596551516732e-10,0.999999999493318
"function8"," resid chinook0_hatchery_perhour_interpolate",1,0,0,0,1,-1112.95469425361,2264.68728001182,19,63,TRUE,41.2219434515787,1.11884187613788e-09,2.08298125086778e-10,0.999999999701616
"function7"," resid lunar_phase",1,0,0,1,0,-1113.04855872557,2264.87500895575,19,57,TRUE,41.409672395504,1.01860051309548e-09,1.89635891912282e-10,0.999999999891252
"function20"," resid lunar_phase chinook0_hatchery_perhour_interpolate",1,0,0,1,1,-1112.77168150758,2266.40401875287,20,70,TRUE,42.9386821926291,4.74224111777974e-10,8.82877155932635e-11,0.999999999979539
"function4"," chinook0_hatchery_perhour_interpolate",0,0,0,0,1,-1116.9733188584,2270.64602421987,18,45,TRUE,47.1806876596288,5.68648435349019e-11,1.0586697320054e-11,0.999999999990126
"function14"," lunar_phase chinook0_hatchery_perhour_interpolate",0,0,0,1,1,-1116.68660638618,2272.15110427696,19,52,TRUE,48.6857677167213,2.67929088556747e-11,4.98811565716745e-12,0.999999999995114
"function31","None",0,0,0,0,0,-1119.12816909311,2272.88146586752,17,38,TRUE,49.4161293072789,1.85961851884586e-11,3.46210719417609e-12,0.999999999998576
"function3"," lunar_phase",0,0,0,1,0,-1118.97963548174,2274.65865746654,18,55,TRUE,51.193320906295,7.64736131948993e-12,1.42373203817641e-12,1
