"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" resid photoperiod temp_diff",1,0,0,1,1,0,0,-1191.4,2497.2,54,45,TRUE,0,1,0.31,0.31
" resid flow photoperiod temp_diff",1,1,0,1,1,0,0,-1191.09,2498.82,55,47,TRUE,1.62000000000035,0.44,0.14,0.44
" resid photoperiod temp_diff flow_diff",1,0,1,1,1,0,0,-1191.26,2499.15,55,46,TRUE,1.95000000000027,0.38,0.12,0.56
" resid photoperiod temp_diff lunar_phase",1,0,0,1,1,1,0,-1191.36,2499.36,55,47,TRUE,2.16000000000031,0.34,0.1,0.66
" resid flow photoperiod temp_diff flow_diff",1,1,1,1,1,0,0,-1190.97,2500.82,56,47,TRUE,3.62000000000035,0.16,0.05,0.71
" resid flow photoperiod temp_diff lunar_phase",1,1,0,1,1,1,0,-1191.07,2501.03,56,53,TRUE,3.83000000000038,0.15,0.04,0.75
" resid photoperiod temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,1,0,1,-1191.12,2501.13,56,49,TRUE,3.93000000000029,0.14,0.04,0.8
" resid photoperiod temp_diff flow_diff lunar_phase",1,0,1,1,1,1,0,-1191.24,2501.36,56,51,TRUE,4.16000000000031,0.12,0.04,0.84
" resid flow photoperiod temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,1,0,1,-1190.71,2502.56,57,53,TRUE,5.36000000000013,0.07,0.02,0.86
" resid photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,1,0,1,-1190.93,2503,57,49,TRUE,5.80000000000018,0.06,0.02,0.87
" resid flow photoperiod temp_diff flow_diff lunar_phase",1,1,1,1,1,1,0,-1190.96,2503.06,57,47,TRUE,5.86000000000013,0.05,0.02,0.89
" resid photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,1,1,1,-1191.06,2503.27,57,50,TRUE,6.07000000000016,0.05,0.01,0.9
" resid flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,1,0,1,-1190.54,2504.48,58,58,TRUE,7.2800000000002,0.03,0.01,0.91
" resid flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,1,1,1,-1190.68,2504.76,58,48,TRUE,7.5600000000004,0.02,0.01,0.92
