,c,d,logLik,AICc,num.param,num.iter,converged,deltaAICc,rel.LL,weights
function94,"Photoperiod difference, Temperature difference ",None,-1084.87444,2208.526771,19,61,TRUE,0,1,0.520783937
function93,"Photoperiod difference,  Lunar phase, Temperature difference ",None,-1084.729151,2210.318959,20,80,TRUE,1.792187381,0.408160953,0.212563668
function43,"Photoperiod difference, Flow,  Temperature difference ",None,-1084.874394,2210.609444,20,67,TRUE,2.082672442,0.352982704,0.183827722
function42,"Photoperiod difference, Flow, Lunar phase, Temperature difference ",None,-1084.728759,2212.405211,21,77,TRUE,3.878439932,0.143816087,0.074897108
function74,"ATU, Temperature difference ",None,-1090.160084,2219.098059,19,63,TRUE,10.57128833,0.005063769,0.00263713
function23,"ATU, Flow,  Temperature difference ",None,-1089.95677,2220.774195,20,78,TRUE,12.24742412,0.00219031,0.001140678
function73,"ATU,  Lunar phase, Temperature difference ",None,-1090.021069,2220.902794,20,74,TRUE,12.37602337,0.002053907,0.001069642
function45,"Photoperiod difference, Temperature difference,   Hatchery",None,-1075.63497,2221.743953,34,140,TRUE,13.2171816,0.001348731,0.000702398
function22,"ATU, Flow, Lunar phase, Temperature difference ",None,-1089.803733,2222.555158,21,83,TRUE,14.02838673,0.000899031,0.000468201
function44,"Photoperiod difference,  Lunar phase, Temperature difference,   Hatchery",None,-1075.344875,2223.312018,35,145,TRUE,14.78524662,0.000615778,0.000320688
function84,"Temperature residuals, Temperature difference ",None,-1092.343723,2223.465337,19,71,TRUE,14.93856544,0.000570337,0.000297022
function92,"Photoperiod difference, Flow,  Temperature difference,   Hatchery",None,-1075.595577,2223.813423,35,149,TRUE,15.28665191,0.000479232,0.000249576
function33,"Temperature residuals, Flow,  Temperature difference ",None,-1091.678411,2224.217477,20,78,TRUE,15.69070598,0.000391567,0.000203922
function110,"Photoperiod, Flow,  Temperature difference ",None,-1091.999414,2224.859484,20,69,TRUE,16.33271311,0.000284051,0.000147929
function83,"Temperature residuals,  Lunar phase, Temperature difference ",None,-1092.236399,2225.333453,20,59,TRUE,16.80668203,0.000224117,0.000116717
function41,"Photoperiod difference, Flow, Lunar phase, Temperature difference, Hatchery",None,-1075.313638,2225.402275,36,156,TRUE,16.8755039,0.000216536,0.000112769
function32,"Temperature residuals, Flow, Lunar phase, Temperature difference ",None,-1091.544252,2226.036195,21,84,TRUE,17.50942425,0.000157716,8.21E-05
function54,"Temperature, Temperature difference ",None,-1093.860547,2226.498985,19,68,TRUE,17.97221349,0.000125136,6.52E-05
function18,"Photoperiod, Flow, Lunar phase, Temperature difference ",None,-1091.866241,2226.680174,21,79,TRUE,18.15340322,0.000114298,5.95E-05
function19,"Temperature, Flow,  Temperature difference ",None,-1092.937261,2226.735179,20,74,TRUE,18.20840755,0.000111197,5.79E-05
function64,"Photoperiod, Temperature difference ",None,-1094.76262,2228.303131,19,66,TRUE,19.7763598,5.08E-05,2.64E-05
function27,"ATU, Temperature difference,   Hatchery",None,-1078.961582,2228.397176,34,124,TRUE,19.87040507,4.84E-05,2.52E-05
function53,"Temperature,  Lunar phase, Temperature difference ",None,-1093.803077,2228.46681,20,75,TRUE,19.94003856,4.68E-05,2.44E-05
