"c","photoperiod","photo_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow flow_diff",1,0,1,1,1,0,0,-1331.15077523053,2737.05077646724,36,135,TRUE,0,0,1,0.17,0.17
" photoperiod flow flow_diff",1,0,0,1,1,0,0,-1332.48700376197,2737.57194566828,35,100,TRUE,0.52,0.521169201034809,0.77,0.13,0.31
" photoperiod temp_diff flow flow_diff coho1_hatchery_perhour_interpolate",1,0,1,1,1,0,1,-1329.49721482401,2738.05957959632,38,131,TRUE,1.01,1.0088031290793,0.6,0.11,0.41
" photoperiod flow flow_diff coho1_hatchery_perhour_interpolate",1,0,0,1,1,0,1,-1330.65060406205,2738.20616680178,37,105,TRUE,1.16,1.15539033453979,0.56,0.1,0.51
" photoperiod temp_diff flow lunar_phase flow_diff",1,0,1,1,1,1,0,-1331.07431119752,2739.05358107274,37,108,TRUE,2,2.00280460549175,0.37,0.06,0.58
" photoperiod photo_diff temp_diff flow flow_diff",1,1,1,1,1,0,0,-1331.14387187641,2739.19270243051,37,140,TRUE,2.14,2.14192596326393,0.34,0.06,0.64
" photoperiod photo_diff flow flow_diff",1,1,0,1,1,0,0,-1332.39978833787,2739.54880268194,36,134,TRUE,2.5,2.49802621469144,0.29,0.05,0.69
" photoperiod flow lunar_phase flow_diff",1,0,0,1,1,1,0,-1332.4146546947,2739.57853539559,36,107,TRUE,2.53,2.5277589283437,0.28,0.05,0.74
" photoperiod temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,0,1,1,1,1,1,-1329.41853008664,2740.06687383788,39,122,TRUE,3.02,3.01609737063154,0.22,0.04,0.77
" photoperiod photo_diff temp_diff flow flow_diff coho1_hatchery_perhour_interpolate",1,1,1,1,1,0,1,-1329.48299432707,2740.19580231874,39,118,TRUE,3.15,3.14502585149148,0.21,0.04,0.81
" photoperiod flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,0,0,1,1,1,1,-1330.57559013697,2740.21633022224,38,110,TRUE,3.17,3.16555375499911,0.21,0.04,0.85
" photoperiod photo_diff flow flow_diff coho1_hatchery_perhour_interpolate",1,1,0,1,1,0,1,-1330.62825461132,2740.32165917094,38,139,TRUE,3.27,3.27088270369677,0.19,0.03,0.88
" photoperiod photo_diff temp_diff flow lunar_phase flow_diff",1,1,1,1,1,1,0,-1331.06402113445,2741.1931922172,38,118,TRUE,4.14,4.14241574995503,0.13,0.02,0.9
" photoperiod photo_diff flow lunar_phase flow_diff",1,1,0,1,1,1,0,-1332.33591433076,2741.5767873392,37,126,TRUE,4.53,4.52601087195853,0.1,0.02,0.92
" photoperiod photo_diff temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,1,1,1,1,1,1,-1329.39837860922,2742.19572094901,40,124,TRUE,5.14,5.14494448176629,0.08,0.01,0.93
" photoperiod photo_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,1,0,1,1,1,1,-1330.55883465098,2742.34748296656,39,118,TRUE,5.3,5.29670649931404,0.07,0.01,0.95
" photoperiod flow_diff coho1_hatchery_perhour_interpolate",1,0,0,0,1,0,1,-1333.99036242303,2742.72995085225,36,146,TRUE,5.68,5.67917438500717,0.06,0.01,0.96
" photoperiod flow_diff",1,0,0,0,1,0,0,-1336.29702680833,2743.04513497609,34,96,TRUE,5.99,5.99435850884674,0.05,0.01,0.97
" photoperiod temp_diff flow_diff coho1_hatchery_perhour_interpolate",1,0,1,0,1,0,1,-1333.80968141582,2744.52432150932,37,122,TRUE,7.47,7.47354504207897,0.02,0,0.97
" photoperiod temp_diff flow_diff",1,0,1,0,1,0,0,-1335.98005078851,2744.55803972135,35,99,TRUE,7.51,7.50726325410824,0.02,0,0.97
