"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc","delta_aicc"
"function42"," photoperiod temp_diff flow flow_diff","None",-1331.15077523053,2737.05077646724,36,135,TRUE,0,0
"function26"," photoperiod flow flow_diff","None",-1332.48700376197,2737.57194566828,35,100,TRUE,0.521169201034809,0.521169201034809
"function58"," photoperiod temp_diff flow flow_diff coho1_hatchery_perhour_interpolate","None",-1329.49721482401,2738.05957959632,38,131,TRUE,1.0088031290793,1.0088031290793
"function49"," photoperiod flow flow_diff coho1_hatchery_perhour_interpolate","None",-1330.65060406205,2738.20616680178,37,105,TRUE,1.15539033453979,1.15539033453979
"function56"," photoperiod temp_diff flow lunar_phase flow_diff","None",-1331.07431119752,2739.05358107274,37,108,TRUE,2.00280460549175,2.00280460549175
"function47"," photoperiod flow lunar_phase flow_diff","None",-1332.4146546947,2739.57853539559,36,107,TRUE,2.5277589283437,2.5277589283437
"function62"," photoperiod temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate","None",-1329.41853008664,2740.06687383788,39,122,TRUE,3.01609737063154,3.01609737063154
"function60"," photoperiod flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate","None",-1330.57559013697,2740.21633022224,38,110,TRUE,3.16555375499911,3.16555375499911
"function30"," photoperiod flow_diff coho1_hatchery_perhour_interpolate","None",-1333.99036242303,2742.72995085225,36,146,TRUE,5.67917438500717,5.67917438500717
"function9"," photoperiod flow_diff","None",-1336.29702680833,2743.04513497609,34,96,TRUE,5.99435850884674,5.99435850884674
"function46"," photoperiod temp_diff flow_diff coho1_hatchery_perhour_interpolate","None",-1333.80968141582,2744.52432150932,37,122,TRUE,7.47354504207897,7.47354504207897
"function23"," photoperiod temp_diff flow_diff","None",-1335.98005078851,2744.55803972135,35,99,TRUE,7.50726325410824,7.50726325410824
"function50"," photoperiod lunar_phase flow_diff coho1_hatchery_perhour_interpolate","None",-1333.95447888348,2744.81391644465,37,111,TRUE,7.76313997741045,7.76313997741045
