"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"function15"," photoperiod flow","None",-711.480269570351,1462.37055769358,19,78,TRUE,0
"function51"," photoperiod flow lunar_phase","None",-710.889162178756,1463.33966264748,20,91,TRUE,0.96910495389875
"function36"," photoperiod temp_diff flow","None",-711.30894822714,1464.17923474424,20,111,TRUE,1.80867705066703
"function56"," photoperiod flow coho1_hatchery_perhour_interpolate","None",-711.46348254949,1464.48830338894,20,85,TRUE,2.11774569536578
"function16"," atu_april flow","None",-712.692754883421,1464.79552831972,19,70,TRUE,2.42497062614029
"function70"," photoperiod temp_diff flow lunar_phase","None",-710.723982602336,1465.16863559573,21,100,TRUE,2.79807790215659
"function85"," photoperiod flow lunar_phase coho1_hatchery_perhour_interpolate","None",-710.8731621223,1465.46699463566,21,121,TRUE,3.09643694208489
"function52"," atu_april flow lunar_phase","None",-711.992318684112,1465.54597565819,20,104,TRUE,3.17541796460955
"function37"," atu_april temp_diff flow","None",-712.313542846714,1466.18842398339,20,82,TRUE,3.8178662898149
"function1"," photoperiod","None",-714.481066357905,1466.22879938248,18,73,TRUE,3.85824168889917
"function75"," photoperiod temp_diff flow coho1_hatchery_perhour_interpolate","None",-711.307608121161,1466.33588663338,21,97,TRUE,3.96532893980634
"function57"," atu_april flow coho1_hatchery_perhour_interpolate","None",-712.521525078261,1466.60438844649,20,98,TRUE,4.23383075290894
"function71"," atu_april temp_diff flow lunar_phase","None",-711.622069538189,1466.96480946744,21,88,TRUE,4.59425177386311
"function91"," photoperiod temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate","None",-710.722742165971,1467.33354403343,22,98,TRUE,4.9629863398568
"function86"," atu_april flow lunar_phase coho1_hatchery_perhour_interpolate","None",-711.821597983333,1467.36386635773,21,104,TRUE,4.99330866415153
"function20"," photoperiod lunar_phase","None",-714.093708045174,1467.59743464322,19,101,TRUE,5.22687694964793
"function25"," photoperiod coho1_hatchery_perhour_interpolate","None",-714.228533669778,1467.86708589243,19,77,TRUE,5.49652819885432
