"","c","atu","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function6"," atu_april flow",1,0,1,0,0,-712.692754883421,1464.79552831972,19,70,TRUE,0,1,0.264289893459891,0.264289893459891
"function18"," atu_april flow lunar_phase",1,0,1,1,0,-711.992318684112,1465.54597565819,20,104,TRUE,0.750447338469257,0.687135570514564,0.181602986723796,0.445892880183687
"function15"," atu_april temp_diff flow",1,1,1,0,0,-712.313542846714,1466.18842398339,20,82,TRUE,1.39289566367461,0.498352394941982,0.131709501364698,0.577602381548385
"function19"," atu_april flow coho1_hatchery_perhour_interpolate",1,0,1,0,1,-712.521525078261,1466.60438844649,20,98,TRUE,1.80886012676865,0.404772514051612,0.106977284614193,0.684579666162578
"function25"," atu_april temp_diff flow lunar_phase",1,1,1,1,0,-711.622069538189,1466.96480946744,21,88,TRUE,2.16928114772281,0.33802325845774,0.0893361309647615,0.773915797127339
"function28"," atu_april flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,1,1,-711.821597983333,1467.36386635773,21,104,TRUE,2.56833803801123,0.276880570553202,0.0731767364926198,0.847092533619959
"function26"," atu_april temp_diff flow coho1_hatchery_perhour_interpolate",1,1,1,0,1,-712.230028893903,1468.18072817887,21,96,TRUE,3.38519985915013,0.184040409327464,0.0486400201734701,0.895732553793429
"function30"," atu_april temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,1,1,-711.538743776184,1468.96554725386,22,106,TRUE,4.17001893414249,0.124305943346987,0.0328528045236065,0.928585358317035
"function"," atu_april",1,0,0,0,0,-716.329134156756,1469.92493498018,18,70,TRUE,5.12940666046075,0.0769420044229497,0.0203349941515318,0.948920352468567
"function8"," atu_april coho1_hatchery_perhour_interpolate",1,0,0,0,1,-715.629794933217,1470.66960841931,19,85,TRUE,5.87408009959336,0.0530224404779343,0.0140132951448967,0.962933647613464
"function7"," atu_april lunar_phase",1,0,0,1,0,-715.864058618637,1471.13813579015,19,80,TRUE,6.34260747043322,0.0419488720154198,0.0110866629157179,0.974020310529182
"function20"," atu_april lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,1,1,-715.14370078518,1471.84873986032,20,83,TRUE,7.05321154060562,0.0294045524818711,0.0077713260426695,0.981791636571851
"function5"," atu_april temp_diff",1,1,0,0,0,-716.327757540563,1472.065533634,19,76,TRUE,7.2700053142853,0.02638386428164,0.00697298868005485,0.988764625251906
"function17"," atu_april temp_diff coho1_hatchery_perhour_interpolate",1,1,0,0,1,-715.626742444807,1472.81482317958,20,82,TRUE,8.01929485985966,0.0181397896564064,0.00479416307567649,0.993558788327583
"function16"," atu_april temp_diff lunar_phase",1,1,0,1,0,-715.863744589661,1473.28882746929,20,82,TRUE,8.49329914956843,0.0143121053079618,0.00378254478702798,0.997341333114611
"function27"," atu_april temp_diff lunar_phase coho1_hatchery_perhour_interpolate",1,1,0,1,1,-715.13748232513,1473.99563504132,21,100,TRUE,9.20010672160379,0.0100512993849282,0.00265645684357613,0.999997789958187
"function2"," flow",0,0,1,0,0,-726.608728623791,1490.48412391425,18,75,TRUE,25.6885955945311,2.64114559543357e-06,6.98028088029198e-07,0.999998487986275
"function12"," flow lunar_phase",0,0,1,1,0,-726.10056752082,1491.61115359452,19,75,TRUE,26.8156252747983,1.50335296055847e-06,3.97320993778611e-07,0.999998885307269
"function9"," temp_diff flow",0,1,1,0,0,-726.229285672122,1491.86858989712,19,87,TRUE,27.0730615774035,1.3217806030027e-06,3.49333254744934e-07,0.999999234640523
"function13"," flow coho1_hatchery_perhour_interpolate",0,0,1,0,1,-726.600242684281,1492.61050392144,19,63,TRUE,27.8149756017215,9.12125906652601e-07,2.41065658691223e-07,0.999999475706182
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-725.7146806325,1492.99069955496,20,95,TRUE,28.1951712352452,7.54217071132762e-07,1.99331949375309e-07,0.999999675038131
"function24"," flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,1,1,-726.088896842924,1493.73913197581,20,80,TRUE,28.9436036560935,5.18771755458958e-07,1.37106131980249e-07,0.999999812144263
"function22"," temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,0,1,-726.229258960664,1494.01985621129,20,84,TRUE,29.2243278915737,4.50835212909674e-07,1.19151190387865e-07,0.999999931295454
"function29"," temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,1,1,-725.714299958179,1495.14927030742,21,80,TRUE,30.3537419877018,2.56311843826287e-07,6.77406298973576e-08,0.999999999036084
"function4"," coho1_hatchery_perhour_interpolate",0,0,0,0,1,-734.602671327409,1506.47200932149,18,56,TRUE,41.676481001768,8.91388727901167e-10,2.35585031928347e-10,0.999999999271669
"function3"," lunar_phase",0,0,0,1,0,-734.730531379442,1506.72772942555,18,68,TRUE,41.9322011058337,7.84401152040913e-10,2.07309296902709e-10,0.999999999478978
"function1"," temp_diff",0,1,0,0,0,-734.792090949916,1506.8508485665,18,56,TRUE,42.0553202467815,7.37569995260176e-10,1.94932295466524e-10,0.99999999967391
"function14"," lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,1,1,-734.36015275131,1508.1303240555,19,64,TRUE,43.3347957357796,3.89017079194419e-10,1.02813282414371e-10,0.999999999776724
"function11"," temp_diff coho1_hatchery_perhour_interpolate",0,1,0,0,1,-734.419521580722,1508.24906171432,19,62,TRUE,43.4535333946026,3.66593798361516e-10,9.68870359120218e-11,0.999999999873611
"function10"," temp_diff lunar_phase",0,1,0,1,0,-734.563602171643,1508.53722289616,19,76,TRUE,43.7416945764451,3.17403497644661e-10,8.38865365763043e-11,0.999999999957497
"function23"," temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,1,1,-734.16783857477,1509.8970154395,20,85,TRUE,45.1014871197851,1.60818685931636e-10,4.25027533712319e-11,1
"function31","None",0,0,0,0,0,-1119.12816909311,2272.88146586752,17,38,TRUE,808.085937547805,3.36022384754649e-176,8.88073202669447e-177,1
