"","c","resid","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function2"," flow",0,0,1,0,0,-726.608728623791,1490.48412391425,18,75,TRUE,0,1,0.229021626046674,0.229021626046674
"function12"," flow lunar_phase",0,0,1,1,0,-726.10056752082,1491.61115359452,19,75,TRUE,1.12702968026724,0.569204879563516,0.130360227071337,0.359381853118011
"function9"," temp_diff flow",0,1,1,0,0,-726.229285672122,1491.86858989712,19,87,TRUE,1.38446598287237,0.500457303561002,0.114615545428474,0.473997398546486
"function6"," resid flow",1,0,1,0,0,-726.548709463427,1492.50743747973,19,83,TRUE,2.0233135654812,0.36361604745405,0.083275938444591,0.557273336991077
"function13"," flow coho1_hatchery_perhour_interpolate",0,0,1,0,1,-726.600242684281,1492.61050392144,19,63,TRUE,2.12638000719039,0.345352375965047,0.0790931627025973,0.636366499693674
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-725.7146806325,1492.99069955496,20,95,TRUE,2.50657564071412,0.285564367385415,0.0654004157595975,0.701766915453271
"function18"," resid flow lunar_phase",1,0,1,1,0,-726.012770365813,1493.58687902159,20,81,TRUE,3.10275510733982,0.211955792145646,0.0485424601672066,0.750309375620478
"function24"," flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,1,1,-726.088896842924,1493.73913197581,20,80,TRUE,3.25500806156242,0.196419219128205,0.0449842489515593,0.795293624572037
"function15"," resid temp_diff flow",1,1,1,0,0,-726.120108511265,1493.80155531249,20,109,TRUE,3.31743139824562,0.190383332637955,0.0436019004129292,0.838895524984966
"function22"," temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,0,1,-726.229258960664,1494.01985621129,20,84,TRUE,3.53573229704261,0.170696842191945,0.0390932683598317,0.877988793344798
"function19"," resid flow coho1_hatchery_perhour_interpolate",1,0,1,0,1,-726.479277513803,1494.51989331757,20,108,TRUE,4.03576940332096,0.132936367957088,0.0304453031502711,0.908434096495069
"function25"," resid temp_diff flow lunar_phase",1,1,1,1,0,-725.567103111884,1494.85487661483,21,99,TRUE,4.3707527005804,0.112435410591236,0.0257501405588303,0.9341842370539
"function29"," temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,1,1,-725.714299958179,1495.14927030742,21,80,TRUE,4.66514639317074,0.0970457078433842,0.0222255658111423,0.956409802865042
"function28"," resid flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,1,1,-725.911919734674,1495.54450986041,21,85,TRUE,5.06038594616166,0.0796436497224378,0.0182401181637244,0.974649921028766
"function26"," resid temp_diff flow coho1_hatchery_perhour_interpolate",1,1,1,0,1,-726.074812912894,1495.87029621685,21,87,TRUE,5.38617230260093,0.0676717714503842,0.0154982991350259,0.990148220163792
"function30"," resid temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,1,1,-725.49545300579,1496.87896571307,22,91,TRUE,6.39484179882402,0.0408674694894353,0.0093595343148833,0.999507754478675
"function4"," coho1_hatchery_perhour_interpolate",0,0,0,0,1,-734.602671327409,1506.47200932149,18,56,TRUE,15.9878854072369,0.000337500791112138,7.72949799725406e-05,0.999585049458648
"function3"," lunar_phase",0,0,0,1,0,-734.730531379442,1506.72772942555,18,68,TRUE,16.2436055113026,0.000296992772150506,6.80177676020181e-05,0.99965306722625
"function1"," temp_diff",0,1,0,0,0,-734.792090949916,1506.8508485665,18,56,TRUE,16.3667246522505,0.000279261391926066,6.39568980709651e-05,0.999717024124321
"function"," resid",1,0,0,0,0,-734.944524206537,1507.15571507974,18,68,TRUE,16.6715911654921,0.000239778354860364,5.49144287209168e-05,0.999771938553042
"function14"," lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,1,1,-734.36015275131,1508.1303240555,19,64,TRUE,17.6462001412485,0.000147291039110837,3.3732833279268e-05,0.999805671386321
"function8"," resid coho1_hatchery_perhour_interpolate",1,0,0,0,1,-734.401184853885,1508.21238826065,19,68,TRUE,17.728264346398,0.00014136969151493,3.23767166244659e-05,0.999838048102946
"function11"," temp_diff coho1_hatchery_perhour_interpolate",0,1,0,0,1,-734.419521580722,1508.24906171432,19,62,TRUE,17.7649378000715,0.000138801056252007,3.17884435998305e-05,0.999869836546545
"function10"," temp_diff lunar_phase",0,1,0,1,0,-734.563602171643,1508.53722289616,19,76,TRUE,18.053098981914,0.000120176448505315,2.75230056492016e-05,0.999897359552195
"function7"," resid lunar_phase",1,0,0,1,0,-734.716863565364,1508.8437456836,19,87,TRUE,18.359621769356,0.000103100029101359,2.36121363102526e-05,0.999920971688505
"function5"," resid temp_diff",1,1,0,0,0,-734.788916633707,1508.98785182029,19,70,TRUE,18.5037279060414,9.59326713148828e-05,2.19706563755355e-05,0.99994294234488
"function20"," resid lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,1,1,-734.110000015574,1509.78133832111,20,81,TRUE,19.2972144068635,6.4515361261057e-05,1.47754129409958e-05,0.999957717757821
"function23"," temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,1,1,-734.16783857477,1509.8970154395,20,85,TRUE,19.4128915252541,6.08897465591012e-05,1.39450687665352e-05,0.999971662826588
"function17"," resid temp_diff coho1_hatchery_perhour_interpolate",1,1,0,0,1,-734.241646015609,1510.04463032118,20,83,TRUE,19.5605064069323,5.65574736858009e-05,1.29528845886141e-05,0.999984615711177
