"","c","temperature","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function18"," temp flow lunar_phase",1,0,1,1,0,-715.300462919888,1472.16226412974,20,77,TRUE,0,1,0.37327730585708,0.37327730585708
"function6"," temp flow",1,0,1,0,0,-717.252438477433,1473.91489550774,19,83,TRUE,1.75263137800266,0.416313919547867,0.155400538279629,0.528677844136708
"function28"," temp flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,1,1,-715.168142668087,1474.05695572723,21,102,TRUE,1.89469159749524,0.387768875422876,0.144745321113081,0.673423165249789
"function25"," temp temp_diff flow lunar_phase",1,1,1,1,0,-715.291211244077,1474.30309287922,21,89,TRUE,2.14082874947553,0.342866412798566,0.12798425083833,0.801407416088119
"function19"," temp flow coho1_hatchery_perhour_interpolate",1,0,1,0,1,-717.151446808445,1475.86423190685,20,94,TRUE,3.70196777711249,0.157082538545795,0.0586353467855652,0.860042762873684
"function15"," temp temp_diff flow",1,1,1,0,0,-717.250542289488,1476.06242286894,20,112,TRUE,3.90015873919901,0.14226277979855,0.0531034671669416,0.913146230040626
"function30"," temp temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,1,1,-715.139105878187,1476.16627145787,22,102,TRUE,4.00400732812682,0.13506438827496,0.0504164709725114,0.963562701013137
"function26"," temp temp_diff flow coho1_hatchery_perhour_interpolate",1,1,1,0,1,-717.140692209167,1478.00205480939,21,97,TRUE,5.83979067965515,0.0539393323047667,0.0201343286424531,0.98369702965559
"function7"," temp lunar_phase",1,0,0,1,0,-721.120699765248,1481.65141808337,19,120,TRUE,9.48915395363156,0.00869874099670651,0.00324704260359913,0.986944072259189
"function16"," temp temp_diff lunar_phase",1,1,0,1,0,-720.226503812126,1482.01434591422,20,97,TRUE,9.85208178447533,0.00725517049746574,0.00270819049682778,0.989652262756017
"function20"," temp lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,1,1,-720.376071548086,1482.31348138614,20,110,TRUE,10.1512172563957,0.00624728300970884,0.00233196897079082,0.991984231726808
"function27"," temp temp_diff lunar_phase coho1_hatchery_perhour_interpolate",1,1,0,1,1,-719.338829342897,1482.39832907685,21,85,TRUE,10.236064947115,0.00598779245273411,0.00223510703478794,0.994219338761596
"function"," temp",1,0,0,0,0,-722.712774368431,1482.69221540353,18,77,TRUE,10.5299512737888,0.00516951897232273,0.00192966411456569,0.996149002876162
"function5"," temp temp_diff",1,1,0,0,0,-721.930242668779,1483.27050389043,19,87,TRUE,11.1082397606933,0.00387147433123031,0.00144513350805649,0.997594136384218
"function8"," temp coho1_hatchery_perhour_interpolate",1,0,0,0,1,-722.078120419118,1483.56625939111,19,74,TRUE,11.4039952613725,0.00333928812584004,0.00124648047509411,0.998840616859312
"function17"," temp temp_diff coho1_hatchery_perhour_interpolate",1,1,0,0,1,-721.188177502516,1483.93769329499,20,81,TRUE,11.7754291652552,0.00277330762517809,0.00103521279863937,0.999875829657952
"function2"," flow",0,0,1,0,0,-726.608728623791,1490.48412391425,18,75,TRUE,18.3218597845084,0.000105065153338742,3.92184373777464e-05,0.999915048095329
"function12"," flow lunar_phase",0,0,1,1,0,-726.10056752082,1491.61115359452,19,75,TRUE,19.4488894647757,5.98035979525007e-05,2.23233259242694e-05,0.999937371421254
"function9"," temp_diff flow",0,1,1,0,0,-726.229285672122,1491.86858989712,19,87,TRUE,19.7063257673808,5.25806233381298e-05,1.9627153419943e-05,0.999956998574674
"function13"," flow coho1_hatchery_perhour_interpolate",0,0,1,0,1,-726.600242684281,1492.61050392144,19,63,TRUE,20.4482397916988,3.62845003366664e-05,1.35441805300411e-05,0.999970542755204
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-725.7146806325,1492.99069955496,20,95,TRUE,20.8284354252226,3.00028640474294e-05,1.11993882596207e-05,0.999981742143463
"function24"," flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,1,1,-726.088896842924,1493.73913197581,20,80,TRUE,21.5768678460709,2.06368153763807e-05,7.70325484516534e-06,0.999989445398308
"function22"," temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,0,1,-726.229258960664,1494.01985621129,20,84,TRUE,21.857592081551,1.79342898993357e-05,6.69446341608386e-06,0.999996139861725
"function29"," temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,1,1,-725.714299958179,1495.14927030742,21,80,TRUE,22.9870061776792,1.01961221754319e-05,3.80598101583484e-06,0.99999994584274
"function4"," coho1_hatchery_perhour_interpolate",0,0,0,0,1,-734.602671327409,1506.47200932149,18,56,TRUE,34.3097451917454,3.54595723701434e-08,1.32362536411713e-08,0.999999959078994
"function3"," lunar_phase",0,0,0,1,0,-734.730531379442,1506.72772942555,18,68,TRUE,34.565465295811,3.12035911464908e-08,1.16475924362279e-08,0.999999970726587
"function1"," temp_diff",0,1,0,0,0,-734.792090949916,1506.8508485665,18,56,TRUE,34.6885844367589,2.93406409643025e-08,1.09521954112747e-08,0.999999981678782
"function14"," lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,1,1,-734.36015275131,1508.1303240555,19,64,TRUE,35.968059925757,1.54751556096026e-08,5.77652439367154e-09,0.999999987455306
"function11"," temp_diff coho1_hatchery_perhour_interpolate",0,1,0,0,1,-734.419521580722,1508.24906171432,19,62,TRUE,36.0867975845799,1.45831542586964e-08,5.4435605325844e-09,0.999999992898867
"function10"," temp_diff lunar_phase",0,1,0,1,0,-734.563602171643,1508.53722289616,19,76,TRUE,36.3749587664224,1.26263569899163e-08,4.71313251998566e-09,0.999999997611999
"function23"," temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,1,1,-734.16783857477,1509.8970154395,20,85,TRUE,37.7347513097625,6.39739055898908e-09,2.38800071237496e-09,1
"function31","None",0,0,0,0,0,-1119.12816909311,2272.88146586752,17,38,TRUE,800.719201737782,1.33670190089242e-174,4.98960484299158e-175,1
