"","c","d","logLik","AICc","num.param","num.iter","converged","DeltaAICc"
"1","Flow, Lunar Phase, Photoperiod","No covariates",-994.053686916348,2026.86966069328,19,77,TRUE,0
"2","Flow, Photoperiod","No covariates",-994.533049852322,2027.82838656523,19,80,TRUE,0.958725871947081
"3","Flow, Photoperiod","Flow",-993.656089143353,2028.15555178068,20,86,TRUE,1.28589108740243
"4","Flow, Lunar Phase, Photoperiod","Flow",-992.861474920622,2028.65159305733,21,95,TRUE,1.78193236404672
"5","Photoperiod","No covariates",-996.524587170283,2029.73454508205,18,72,TRUE,2.86488438876995
"6","Lunar Phase, Photoperiod","Flow",-994.52879019799,2029.90095388996,20,78,TRUE,3.03129319667801
"7","Lunar Phase, Photoperiod","No covariates",-996.013276510405,2030.78883988139,19,80,TRUE,3.91917918811419
"8","ATU","No covariates",-1002.50058941161,2041.68654956471,18,75,TRUE,14.816888871432
"9","Temperature","No covariates",-1009.20374559237,2055.09286192622,18,70,TRUE,28.2232012329382
"10","Flow","No covariates",-1010.24568359905,2057.17673793957,18,71,TRUE,30.3070772462943
"11","No covariates","No covariates",-1021.40496637169,2077.42254535598,17,54,TRUE,50.5528846627049
"12","Lunar Phase","No covariates",-1021.07442505628,2078.83422085405,18,64,TRUE,51.9645601607726
"13","Hatchery","No covariates",-1021.39709340232,2079.47955754612,18,72,TRUE,52.6098968528386
