"","c","photoperiod_difference","temperature","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"gradient120"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,1,1,1,-2557.10672104,5206.34416776193,45,45,TRUE,0
"gradient126"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,1,1,1,-2556.77544817989,5207.77746690561,46,46,TRUE,1.43329914367314
"gradient102"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,0,1,1,-2559.23657064894,5208.51017833493,44,41,TRUE,2.1660105729934
"gradient122"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,0,1,1,-2558.94831676163,5210.02735920519,45,44,TRUE,3.68319144325778
"gradient98"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day",1,1,0,1,1,1,0,-2564.02851021494,5216.00252171524,43,45,TRUE,9.65835395330123
"gradient64"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day",1,1,0,1,0,1,0,-2565.85485379614,5217.5658227002,42,42,TRUE,11.2216549382674
"gradient119"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,1,1,1,1,1,0,-2563.80221559776,5217.64146823256,44,54,TRUE,11.2973004706218
"gradient101"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day temp_diff_day",1,1,1,1,0,1,0,-2565.66134644847,5219.26819418228,43,37,TRUE,12.9240264203499
"gradient109"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,1,1,1,-2567.56396849393,5225.1649740249,44,45,TRUE,18.8208062629692
"gradient77"," photo_diff_day temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,0,1,1,-2568.85588213169,5225.65726554873,43,46,TRUE,19.3130977867932
"gradient124"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,1,1,1,-2567.55607589665,5227.24287747524,45,45,TRUE,20.8987097133058
"gradient111"," photo_diff_day temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,0,1,1,-2568.85064737642,5227.73833178988,44,44,TRUE,21.3941640279418
"gradient73"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day",1,1,0,0,1,1,0,-2571.79190143792,5229.43991798375,42,45,TRUE,23.0957502218162
"gradient34"," photo_diff_day temp_day_inp flow_diff_day",1,1,0,0,0,1,0,-2572.97850907566,5229.72589334392,41,36,TRUE,23.3817255819895
"gradient108"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,1,1,0,1,1,0,-2571.78992430212,5231.52534988958,43,41,TRUE,25.1811821276433
"gradient76"," photo_diff_day temp_day_inp flow_diff_day temp_diff_day",1,1,1,0,0,1,0,-2572.97701785982,5231.81015082756,42,41,TRUE,25.4659830656265
"gradient105"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,1,1,1,1,-2582.32899831602,5254.69503366907,44,43,TRUE,48.3508659071404
"gradient71"," photo_diff_day flow_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,1,0,1,1,-2583.40005170915,5254.74560470365,43,39,TRUE,48.40143694172
"gradient57"," temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,0,0,1,1,-2584.4982902603,5254.85269562852,42,37,TRUE,48.5085278665829
"gradient94"," temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,0,1,1,1,-2583.69544370278,5255.3363886909,43,44,TRUE,48.9922209289698
"gradient87"," flow_day_inp temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,1,0,1,1,-2583.7882195578,5255.52194040094,43,52,TRUE,49.1777726390046
"gradient114"," flow_day_inp temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,1,1,1,1,-2582.88495081049,5255.80693865802,44,44,TRUE,49.462770896087
"gradient123"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,1,1,1,-2582.23853174105,5256.60778916403,45,41,TRUE,50.2636214020995
"gradient107"," photo_diff_day flow_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,0,1,1,-2583.29384711062,5256.62473125829,44,48,TRUE,50.2805634963524
"gradient96"," temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,0,1,1,-2584.45571249624,5256.85692627782,43,45,TRUE,50.512758515888
"gradient118"," temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,1,1,1,-2583.65954365593,5257.35612434889,44,55,TRUE,51.0119565869572
"gradient116"," flow_day_inp temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,0,1,1,-2583.77099535824,5257.57902775351,44,44,TRUE,51.2348599915786
"gradient125"," flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,1,1,1,-2582.8735201319,5257.87776594573,45,45,TRUE,51.5335981837934
"gradient30"," photo_diff_day flow_day_inp flow_diff_day",1,0,0,1,0,1,0,-2587.39595522179,5258.56078563618,41,39,TRUE,52.2166178742473
"gradient67"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day",1,0,0,1,1,1,0,-2586.41841215921,5258.69293942634,42,42,TRUE,52.3487716644013
"gradient70"," photo_diff_day flow_day_inp flow_diff_day temp_diff_day",1,0,1,1,0,1,0,-2587.26165880067,5260.37943270926,42,37,TRUE,54.0352649473298
