"","c","atu","photoperiod","flow","lunar_phase","flow_difference","temp_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient102"," atu_day flow_day photoperiod_day flow_diff_day coho1_hatchery_perhour_day",1,1,1,0,1,0,1,-2211.13,4506.13,41,57,TRUE,0,1,0.44,0.44
"gradient122"," atu_day flow_day photoperiod_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,1,1,0,1,1,1,-2210.74,4507.45,42,55,TRUE,1.32,0.52,0.23,0.67
"gradient120"," atu_day flow_day photoperiod_day lunar_phase_day flow_diff_day coho1_hatchery_perhour_day",1,1,1,1,1,0,1,-2210.95,4507.87,42,48,TRUE,1.74,0.42,0.18,0.85
"gradient126"," atu_day flow_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,1,1,1,1,1,1,-2210.57,4509.21,43,56,TRUE,3.08,0.21,0.09,0.95
"gradient71"," atu_day flow_day flow_diff_day coho1_hatchery_perhour_day",1,0,1,0,1,0,1,-2215.47,4512.73,40,45,TRUE,6.6,0.04,0.02,0.97
"gradient107"," atu_day flow_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,0,1,0,1,1,1,-2214.55,4512.98,41,50,TRUE,6.85,0.03,0.01,0.98
"gradient105"," atu_day flow_day lunar_phase_day flow_diff_day coho1_hatchery_perhour_day",1,0,1,1,1,0,1,-2215.35,4514.59,41,49,TRUE,8.46,0.01,0.01,0.99
"gradient123"," atu_day flow_day lunar_phase_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",1,0,1,1,1,1,1,-2214.44,4514.85,42,49,TRUE,8.72,0.01,0.01,0.99
"gradient64"," atu_day flow_day photoperiod_day flow_diff_day",1,1,1,0,1,0,0,-2218.43,4516.55,39,47,TRUE,10.42,0.01,0,0.99
"gradient101"," atu_day flow_day photoperiod_day flow_diff_day temp_diff_day",1,1,1,0,1,1,0,-2218,4517.78,40,46,TRUE,11.66,0,0,1
"gradient98"," atu_day flow_day photoperiod_day lunar_phase_day flow_diff_day",1,1,1,1,1,0,0,-2218.31,4518.41,40,49,TRUE,12.28,0,0,1
"gradient116"," flow_day photoperiod_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",0,1,1,0,1,1,1,-2217.47,4518.81,41,52,TRUE,12.68,0,0,1
"gradient87"," flow_day photoperiod_day flow_diff_day coho1_hatchery_perhour_day",0,1,1,0,1,0,1,-2218.58,4518.95,40,41,TRUE,12.82,0,0,1
"gradient119"," atu_day flow_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day",1,1,1,1,1,1,0,-2217.89,4519.65,41,53,TRUE,13.53,0,0,1
"gradient125"," flow_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day coho1_hatchery_perhour_day",0,1,1,1,1,1,1,-2217.36,4520.69,42,43,TRUE,14.56,0,0,1
"gradient114"," flow_day photoperiod_day lunar_phase_day flow_diff_day coho1_hatchery_perhour_day",0,1,1,1,1,0,1,-2218.47,4520.82,41,47,TRUE,14.69,0,0,1
"gradient30"," atu_day flow_day flow_diff_day",1,0,1,0,1,0,0,-2223.46,4524.52,38,45,TRUE,18.4,0,0,1
