"","c","photoperiod_difference","temperature","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient120"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,1,1,1,-2557.11,5206.34,45,45,TRUE,0,1,0.5,0.5
"gradient126"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,1,1,1,-2556.78,5207.78,46,46,TRUE,1.43,0.49,0.24,0.74
"gradient102"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,0,1,1,-2559.24,5208.51,44,41,TRUE,2.17,0.34,0.17,0.91
"gradient122"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,0,1,1,-2558.95,5210.03,45,44,TRUE,3.68,0.16,0.08,0.99
"gradient98"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day",1,1,0,1,1,1,0,-2564.03,5216,43,45,TRUE,9.66,0.01,0,1
"gradient64"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day",1,1,0,1,0,1,0,-2565.85,5217.57,42,42,TRUE,11.22,0,0,1
"gradient119"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,1,1,1,1,1,0,-2563.8,5217.64,44,54,TRUE,11.3,0,0,1
"gradient101"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day temp_diff_day",1,1,1,1,0,1,0,-2565.66,5219.27,43,37,TRUE,12.92,0,0,1
"gradient109"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,1,1,1,-2567.56,5225.16,44,45,TRUE,18.82,0,0,1
"gradient77"," photo_diff_day temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,0,1,1,-2568.86,5225.66,43,46,TRUE,19.31,0,0,1
"gradient124"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,1,1,1,-2567.56,5227.24,45,45,TRUE,20.9,0,0,1
"gradient111"," photo_diff_day temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,0,1,1,-2568.85,5227.74,44,44,TRUE,21.39,0,0,1
"gradient73"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day",1,1,0,0,1,1,0,-2571.79,5229.44,42,45,TRUE,23.1,0,0,1
