"","c","photoperiod_difference","photoperiod","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient96"," photoperiod_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,0,1,1,-1590.84,3241.16,29,50,TRUE,0,1,0.11,0.11
"gradient111"," photo_diff_day photoperiod_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,0,1,1,-1589.83,3241.24,30,54,TRUE,0.09,0.96,0.11,0.22
"gradient122"," photo_diff_day flow_day_inp photoperiod_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,0,1,1,-1588.92,3241.52,31,54,TRUE,0.36,0.83,0.1,0.32
"gradient118"," photoperiod_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,1,1,1,-1590.44,3242.45,30,58,TRUE,1.29,0.52,0.06,0.38
"gradient124"," photo_diff_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,1,1,1,-1589.4,3242.48,31,55,TRUE,1.32,0.52,0.06,0.44
"gradient107"," photo_diff_day flow_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,0,1,1,-1590.55,3242.68,30,47,TRUE,1.53,0.47,0.05,0.49
"gradient126"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,1,1,1,-1588.58,3242.95,32,57,TRUE,1.79,0.41,0.05,0.54
"gradient116"," flow_day_inp photoperiod_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,0,1,1,-1590.75,3243.08,30,53,TRUE,1.92,0.38,0.04,0.58
"gradient71"," photo_diff_day flow_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,1,0,1,1,-1591.98,3243.44,29,59,TRUE,2.29,0.32,0.04,0.62
"gradient102"," photo_diff_day flow_day_inp photoperiod_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,0,1,1,-1590.95,3243.48,30,51,TRUE,2.33,0.31,0.04,0.65
"gradient57"," photoperiod_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,0,0,1,1,-1593.08,3243.54,28,49,TRUE,2.38,0.3,0.03,0.69
"gradient123"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,1,1,1,-1590.18,3244.04,31,56,TRUE,2.89,0.24,0.03,0.72
"gradient77"," photo_diff_day photoperiod_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,0,1,1,-1592.36,3244.2,29,52,TRUE,3.05,0.22,0.02,0.74
"gradient82"," photo_diff_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,0,1,1,-1592.38,3244.23,29,50,TRUE,3.07,0.21,0.02,0.76
"gradient125"," flow_day_inp photoperiod_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,1,1,1,-1590.37,3244.43,31,55,TRUE,3.28,0.19,0.02,0.79
"gradient62"," flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,0,1,1,-1593.67,3244.72,28,39,TRUE,3.57,0.17,0.02,0.81
"gradient94"," photoperiod_day lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,0,1,1,1,-1592.65,3244.78,29,51,TRUE,3.62,0.16,0.02,0.82
"gradient105"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,1,1,1,1,-1591.63,3244.83,30,59,TRUE,3.67,0.16,0.02,0.84
"gradient120"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,1,1,1,-1590.62,3244.92,31,54,TRUE,3.76,0.15,0.02,0.86
"gradient87"," flow_day_inp photoperiod_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,1,0,1,1,-1592.77,3245.01,29,47,TRUE,3.85,0.15,0.02,0.88
"gradient112"," photo_diff_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,1,1,1,-1591.84,3245.26,30,51,TRUE,4.1,0.13,0.01,0.89
"gradient109"," photo_diff_day photoperiod_day lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,1,1,1,-1591.9,3245.38,30,49,TRUE,4.22,0.12,0.01,0.91
"gradient26"," flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,1,1,-1595.14,3245.56,27,49,TRUE,4.4,0.11,0.01,0.92
"gradient41"," photo_diff_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,0,1,1,-1594.14,3245.65,28,46,TRUE,4.49,0.11,0.01,0.93
"gradient97"," lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,1,1,1,-1593.16,3245.8,29,49,TRUE,4.65,0.1,0.01,0.94
"gradient92"," flow_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,0,1,1,-1593.27,3246.01,29,47,TRUE,4.86,0.09,0.01,0.95
"gradient114"," flow_day_inp photoperiod_day lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,1,1,1,1,-1592.4,3246.38,30,50,TRUE,5.22,0.07,0.01,0.96
"gradient51"," flow_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,1,0,1,1,-1594.54,3246.45,28,59,TRUE,5.29,0.07,0.01,0.97
"gradient60"," lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,1,1,1,-1594.63,3246.64,28,53,TRUE,5.48,0.06,0.01,0.98
"gradient80"," photo_diff_day lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,1,1,1,-1593.6,3246.66,29,46,TRUE,5.51,0.06,0.01,0.98
"gradient117"," flow_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,1,1,1,-1592.85,3247.27,30,57,TRUE,6.11,0.05,0.01,0.99
"gradient90"," flow_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,1,1,1,1,-1594.13,3247.73,29,54,TRUE,6.58,0.04,0,0.99
"gradient40"," photo_diff_day flow_diff_day temp_diff_day",1,0,1,0,0,1,0,-1597.25,3249.79,27,44,TRUE,8.63,0.01,0,0.99
"gradient70"," photo_diff_day flow_day_inp flow_diff_day temp_diff_day",1,0,1,1,0,1,0,-1596.48,3250.34,28,47,TRUE,9.18,0.01,0,1
"gradient79"," photo_diff_day lunar_phase_day flow_diff_day temp_diff_day",1,0,1,0,1,1,0,-1596.55,3250.48,28,46,TRUE,9.33,0.01,0,1
"gradient76"," photo_diff_day photoperiod_day flow_diff_day temp_diff_day",1,1,1,0,0,1,0,-1596.82,3251.01,28,48,TRUE,9.85,0.01,0,1
"gradient104"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,0,1,1,1,1,0,-1595.88,3251.24,29,50,TRUE,10.08,0.01,0,1
"gradient108"," photo_diff_day photoperiod_day lunar_phase_day flow_diff_day temp_diff_day",1,1,1,0,1,1,0,-1596.14,3251.76,29,52,TRUE,10.6,0,0,1
"gradient101"," photo_diff_day flow_day_inp photoperiod_day flow_diff_day temp_diff_day",1,1,1,1,0,1,0,-1596.32,3252.11,29,48,TRUE,10.95,0,0,1
"gradient119"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day flow_diff_day temp_diff_day",1,1,1,1,1,1,0,-1595.72,3253.01,30,56,TRUE,11.86,0,0,1
"gradient30"," photo_diff_day flow_day_inp flow_diff_day",1,0,0,1,0,1,0,-1599.62,3254.51,27,34,TRUE,13.35,0,0,1
"gradient10"," photo_diff_day flow_diff_day",1,0,0,0,0,1,0,-1600.7,3254.58,26,51,TRUE,13.43,0,0,1
"gradient37"," photo_diff_day lunar_phase_day flow_diff_day",1,0,0,0,1,1,0,-1599.91,3255.11,27,47,TRUE,13.95,0,0,1
"gradient67"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day",1,0,0,1,1,1,0,-1598.96,3255.3,28,47,TRUE,14.14,0,0,1
"gradient64"," photo_diff_day flow_day_inp photoperiod_day flow_diff_day",1,1,0,1,0,1,0,-1599.6,3256.57,28,49,TRUE,15.41,0,0,1
"gradient34"," photo_diff_day photoperiod_day flow_diff_day",1,1,0,0,0,1,0,-1600.67,3256.63,27,48,TRUE,15.47,0,0,1
"gradient73"," photo_diff_day photoperiod_day lunar_phase_day flow_diff_day",1,1,0,0,1,1,0,-1599.89,3257.16,28,45,TRUE,16,0,0,1
