"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" resid photoperiod",1,0,0,0,1,0,0,-470.805188836173,975.072743263743,16,30,TRUE,0,1,0.09,0.09
" resid photoperiod temp_diff",1,0,0,1,1,0,0,-469.914655002164,975.478905691659,17,29,TRUE,0.406162427915547,0.82,0.07,0.16
" resid temp_diff",1,0,0,1,0,0,0,-471.157249683143,975.776864957683,16,33,TRUE,0.704121693939669,0.7,0.06,0.23
" resid",1,0,0,0,0,0,0,-472.347962897887,975.982789066551,15,27,TRUE,0.910045802807417,0.63,0.06,0.28
" resid photoperiod flow_diff",1,0,1,0,1,0,0,-470.530079575863,976.709754839057,17,37,TRUE,1.63701157531329,0.44,0.04,0.32
" resid photoperiod lunar_phase",1,0,0,0,1,1,0,-470.649839426061,976.949274539453,17,30,TRUE,1.87653127570923,0.39,0.04,0.36
" resid photoperiod temp_diff flow_diff",1,0,1,1,1,0,0,-469.598630913589,977.045910475828,18,34,TRUE,1.97316721208426,0.37,0.03,0.39
" resid flow photoperiod",1,1,0,0,1,0,0,-470.802872987084,977.2553416615,17,36,TRUE,2.18259839775658,0.34,0.03,0.42
" resid photoperiod temp_diff lunar_phase",1,0,0,1,1,1,0,-469.765090745327,977.378830139303,18,34,TRUE,2.30608687555923,0.32,0.03,0.45
" photoperiod temp_diff",0,0,0,1,1,0,0,-471.995247801886,977.45286119517,16,24,TRUE,2.38011793142641,0.3,0.03,0.48
" resid temp_diff flow_diff",1,0,1,1,0,0,0,-470.948899346328,977.547394379988,17,33,TRUE,2.4746511162441,0.29,0.03,0.51
" resid flow photoperiod temp_diff",1,1,0,1,1,0,0,-469.856665831439,977.561980311527,18,33,TRUE,2.48923704778315,0.29,0.03,0.53
" resid temp_diff lunar_phase",1,0,0,1,0,1,0,-470.986205365626,977.622006418583,17,30,TRUE,2.54926315483965,0.28,0.03,0.56
" resid flow temp_diff",1,1,0,1,0,0,0,-471.034029865442,977.717655418215,17,32,TRUE,2.64491215447163,0.27,0.02,0.58
" resid lunar_phase",1,0,0,0,0,1,0,-472.164928186712,977.792221964821,16,30,TRUE,2.71947870107806,0.26,0.02,0.6
" resid flow_diff",1,0,1,0,0,0,0,-472.191772672996,977.84591093739,16,27,TRUE,2.7731676736463,0.25,0.02,0.63
" temp_diff",0,0,0,1,0,0,0,-473.362963797811,978.012790866399,15,28,TRUE,2.94004760265602,0.23,0.02,0.65
" resid flow",1,1,0,0,0,0,0,-472.347141106794,978.156647804985,16,29,TRUE,3.08390454124151,0.21,0.02,0.67
" resid photoperiod flow_diff lunar_phase",1,0,1,0,1,1,0,-470.436142624396,978.720933897441,18,36,TRUE,3.6481906336976,0.16,0.01,0.68
" flow photoperiod temp_diff",0,1,0,1,1,0,0,-471.622132558628,978.893860804587,17,29,TRUE,3.82111754084349,0.15,0.01,0.7
" resid flow photoperiod flow_diff",1,1,1,0,1,0,0,-470.530045796234,978.908740241117,18,37,TRUE,3.83599697737407,0.15,0.01,0.71
" photoperiod temp_diff flow_diff",0,0,1,1,1,0,0,-471.671612685004,978.992821057339,17,29,TRUE,3.92007779359528,0.14,0.01,0.72
" resid flow photoperiod temp_diff flow_diff",1,1,1,1,1,0,0,-469.507660492826,979.074941581858,19,31,TRUE,4.00219831811467,0.14,0.01,0.73
" resid photoperiod temp_diff flow_diff lunar_phase",1,0,1,1,1,1,0,-469.51332170579,979.086264007785,19,31,TRUE,4.01352074404178,0.13,0.01,0.75
" flow temp_diff",0,1,0,1,0,0,0,-472.831970548073,979.126306687543,16,30,TRUE,4.0535634237998,0.13,0.01,0.76
" resid flow photoperiod lunar_phase",1,1,0,0,1,1,0,-470.649517557807,979.147683764262,18,34,TRUE,4.07494050051866,0.13,0.01,0.77
" resid flow temp_diff flow_diff",1,1,1,1,0,0,0,-470.784002019035,979.416652686719,18,32,TRUE,4.34390942297546,0.11,0.01,0.78
" resid flow photoperiod temp_diff lunar_phase",1,1,0,1,1,1,0,-469.687096487238,979.433813570681,19,33,TRUE,4.36107030693802,0.11,0.01,0.79
" photoperiod temp_diff lunar_phase",0,0,0,1,1,1,0,-471.906104260965,979.461804209262,17,30,TRUE,4.38906094551885,0.11,0.01,0.8
" resid temp_diff flow_diff lunar_phase",1,0,1,1,0,1,0,-470.833085064373,979.514818777395,18,37,TRUE,4.44207551365173,0.11,0.01,0.81
" resid flow temp_diff lunar_phase",1,1,0,1,0,1,0,-470.833547613429,979.515743875506,18,29,TRUE,4.44300061176261,0.11,0.01,0.82
" resid flow_diff lunar_phase",1,0,1,0,0,1,0,-472.058094570757,979.765784828845,17,31,TRUE,4.69304156510202,0.1,0.01,0.83
" temp_diff flow_diff",0,0,1,1,0,0,0,-473.153641618489,979.769648828376,16,31,TRUE,4.69690556463229,0.1,0.01,0.84
" resid flow lunar_phase",1,1,0,0,0,1,0,-472.160215820453,979.970027328237,17,33,TRUE,4.89728406449365,0.09,0.01,0.84
" temp_diff lunar_phase",0,0,0,1,0,1,0,-473.260549475773,979.983464542944,16,27,TRUE,4.91072127920017,0.09,0.01,0.85
" resid flow flow_diff",1,1,1,0,0,0,0,-472.187411596833,980.024418880998,17,35,TRUE,4.95167561725418,0.08,0.01,0.86
" photoperiod",0,0,0,0,1,0,0,-474.453580844166,980.194024959109,15,29,TRUE,5.12128169536606,0.08,0.01,0.87
" flow photoperiod temp_diff flow_diff",0,1,1,1,1,0,0,-471.219543039915,980.28773472848,18,30,TRUE,5.21499146473627,0.07,0.01,0.87
" flow temp_diff flow_diff",0,1,1,1,0,0,0,-472.537511791779,980.72461927089,17,30,TRUE,5.65187600714637,0.06,0.01,0.88
" flow photoperiod temp_diff lunar_phase",0,1,0,1,1,1,0,-471.488307772584,980.825264193817,18,37,TRUE,5.75252093007384,0.06,0.01,0.88
" resid flow photoperiod flow_diff lunar_phase",1,1,1,0,1,1,0,-470.435588092078,980.930796780362,19,35,TRUE,5.85805351661895,0.05,0,0.89
" flow temp_diff lunar_phase",0,1,0,1,0,1,0,-472.673706902095,980.997009491522,17,32,TRUE,5.92426622777884,0.05,0,0.89
" resid flow photoperiod temp_diff flow_diff lunar_phase",1,1,1,1,1,1,0,-469.406939728188,981.096488152029,20,37,TRUE,6.02374488828525,0.05,0,0.9
" photoperiod temp_diff flow_diff lunar_phase",0,0,1,1,1,1,0,-471.630436277038,981.109521202725,18,32,TRUE,6.03677793898146,0.05,0,0.9
" resid flow temp_diff flow_diff lunar_phase",1,1,1,1,0,1,0,-470.64587212843,981.351364853067,19,34,TRUE,6.27862158932317,0.04,0,0.91
" temp_diff flow_diff lunar_phase",0,0,1,1,0,1,0,-473.092875535036,981.835346757403,17,30,TRUE,6.76260349365987,0.03,0,0.91
" photoperiod flow_diff",0,0,1,0,1,0,0,-474.208856306249,981.880078203896,16,32,TRUE,6.80733494015271,0.03,0,0.91
" resid flow flow_diff lunar_phase",1,1,1,0,0,1,0,-472.04907159277,981.946791834189,18,32,TRUE,6.8740485704451,0.03,0,0.92
" photoperiod lunar_phase",0,0,0,0,1,1,0,-474.375449009472,982.213263610342,16,28,TRUE,7.14052034659869,0.03,0,0.92
" flow photoperiod",0,1,0,0,1,0,0,-474.382502461013,982.227370513423,16,31,TRUE,7.15462724968006,0.03,0,0.92
" flow photoperiod temp_diff flow_diff lunar_phase",0,1,1,1,1,1,0,-471.148971296527,982.357563189259,19,32,TRUE,7.28481992551576,0.03,0,0.92
" flow temp_diff flow_diff lunar_phase",0,1,1,1,0,1,0,-472.437765367986,982.72417938462,18,32,TRUE,7.65143612087638,0.02,0,0.92
" flow",0,1,0,0,0,0,0,-476.234946133415,983.756755537607,15,29,TRUE,8.68401227386323,0.01,0,0.93
