"","c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"gradient33"," resid photoperiod temp_diff",1,0,0,1,1,0,0,-1191.4,2497.2,54,45,TRUE,0
"gradient63"," resid flow photoperiod temp_diff",1,1,0,1,1,0,0,-1191.09,2498.82,55,47,TRUE,1.62
"gradient73"," resid photoperiod temp_diff flow_diff",1,0,1,1,1,0,0,-1191.26,2499.15,55,46,TRUE,1.95
"gradient74"," resid photoperiod temp_diff lunar_phase",1,0,0,1,1,1,0,-1191.36,2499.36,55,47,TRUE,2.16
"gradient98"," resid flow photoperiod temp_diff flow_diff",1,1,1,1,1,0,0,-1190.97,2500.82,56,47,TRUE,3.62
"gradient99"," resid flow photoperiod temp_diff lunar_phase",1,1,0,1,1,1,0,-1191.07,2501.03,56,53,TRUE,3.83
"gradient75"," resid photoperiod temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,1,0,1,-1191.12,2501.13,56,49,TRUE,3.93
"gradient108"," resid photoperiod temp_diff flow_diff lunar_phase",1,0,1,1,1,1,0,-1191.24,2501.36,56,51,TRUE,4.17
"gradient100"," resid flow photoperiod temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,1,0,1,-1190.71,2502.56,57,53,TRUE,5.36
"gradient109"," resid photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,1,0,1,-1190.93,2503,57,49,TRUE,5.8
"gradient119"," resid flow photoperiod temp_diff flow_diff lunar_phase",1,1,1,1,1,1,0,-1190.96,2503.06,57,47,TRUE,5.86
"gradient110"," resid photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,1,1,1,-1191.06,2503.27,57,50,TRUE,6.07
"gradient120"," resid flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,1,0,1,-1190.54,2504.48,58,58,TRUE,7.28
"gradient121"," resid flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,1,1,1,-1190.68,2504.76,58,48,TRUE,7.56
"gradient8"," resid photoperiod",1,0,0,0,1,0,0,-1196.41,2504.98,53,48,TRUE,7.78
"gradient39"," resid temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,0,0,1,-1194.21,2505.07,55,45,TRUE,7.87
"gradient28"," resid flow photoperiod",1,1,0,0,1,0,0,-1195.36,2505.11,54,52,TRUE,7.91
"gradient124"," resid photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,1,1,1,1,-1190.9,2505.2,58,55,TRUE,8.01
"gradient66"," resid flow photoperiod chinook0_hatchery_perhour_inp",1,1,0,0,1,0,1,-1193.22,2505.32,56,48,TRUE,8.12
"gradient36"," resid photoperiod chinook0_hatchery_perhour_inp",1,0,0,0,1,0,1,-1194.38,2505.39,55,47,TRUE,8.19
"gradient9"," resid temp_diff",1,0,0,1,0,0,0,-1196.66,2505.48,53,45,TRUE,8.28
"gradient126"," resid flow photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,1,1,1,1,-1190.53,2506.72,59,53,TRUE,9.52
"gradient69"," resid flow temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,0,0,1,-1193.93,2506.75,56,51,TRUE,9.55
"gradient34"," resid photoperiod flow_diff",1,0,1,0,1,0,0,-1196.3,2507,54,51,TRUE,9.8
"gradient81"," resid temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,0,1,1,-1194.12,2507.13,56,52,TRUE,9.93
"gradient77"," resid photoperiod flow_diff chinook0_hatchery_perhour_inp",1,0,1,0,1,0,1,-1194.14,2507.16,56,45,TRUE,9.96
"gradient35"," resid photoperiod lunar_phase",1,0,0,0,1,1,0,-1196.39,2507.18,54,52,TRUE,9.98
"gradient102"," resid flow photoperiod flow_diff chinook0_hatchery_perhour_inp",1,1,1,0,1,0,1,-1193.02,2507.19,57,57,TRUE,9.99
"gradient64"," resid flow photoperiod flow_diff",1,1,1,0,1,0,0,-1195.28,2507.19,55,57,TRUE,10
"gradient80"," resid temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,0,0,1,-1194.16,2507.21,56,55,TRUE,10.02
"gradient65"," resid flow photoperiod lunar_phase",1,1,0,0,1,1,0,-1195.36,2507.35,55,44,TRUE,10.15
"gradient78"," resid photoperiod lunar_phase chinook0_hatchery_perhour_inp",1,0,0,0,1,1,1,-1194.31,2507.51,56,50,TRUE,10.31
"gradient103"," resid flow photoperiod lunar_phase chinook0_hatchery_perhour_inp",1,1,0,0,1,1,1,-1193.19,2507.53,57,48,TRUE,10.33
"gradient29"," resid flow temp_diff",1,1,0,1,0,0,0,-1196.62,2507.62,54,44,TRUE,10.43
"gradient38"," resid temp_diff lunar_phase",1,0,0,1,0,1,0,-1196.62,2507.64,54,48,TRUE,10.44
"gradient37"," resid temp_diff flow_diff",1,0,1,1,0,0,0,-1196.66,2507.71,54,46,TRUE,10.51
"gradient18"," photoperiod temp_diff",0,0,0,1,1,0,0,-1198.33,2508.82,53,49,TRUE,11.62
"gradient106"," resid flow temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,0,1,1,-1193.86,2508.87,57,54,TRUE,11.67
"gradient105"," resid flow temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,0,0,1,-1193.89,2508.92,57,58,TRUE,11.72
"gradient76"," resid photoperiod flow_diff lunar_phase",1,0,1,0,1,1,0,-1196.3,2509.23,55,61,TRUE,12.03
