"","c","residuals","photoperiod","flow","lunar_phase","temperature_difference","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function30"," resid_2 photoperiod_2 temp_diff_2",1,1,0,0,1,0,0,-891.748809329567,1843.90425766328,29,91,TRUE,0,1,0.1,0.1
"function71"," resid_2 photoperiod_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",1,1,0,0,1,0,1,-890.817154936627,1844.21048715857,30,88,TRUE,0.31,0.86,0.09,0.19
"function70"," resid_2 photoperiod_2 temp_diff_2 flow_diff_2",1,1,0,0,1,1,0,-891.330282057537,1845.23674140039,30,93,TRUE,1.33,0.51,0.05,0.24
"function7"," resid_2 photoperiod_2",1,1,0,0,1,0,0,-893.622397270951,1845.48788846455,28,71,TRUE,1.58,0.45,0.05,0.28
"function67"," resid_2 photoperiod_2 lunar_phase_2 temp_diff_2",1,1,0,1,1,0,0,-891.509502355554,1845.59518199643,30,90,TRUE,1.69,0.43,0.04,0.33
"function107"," resid_2 photoperiod_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,1,0,0,1,1,1,-890.519840318327,1845.79141433984,31,89,TRUE,1.89,0.39,0.04,0.36
"function105"," resid_2 photoperiod_2 lunar_phase_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",1,1,0,1,1,0,1,-890.638547929246,1846.02882956168,31,101,TRUE,2.12,0.35,0.03,0.4
"function64"," resid_2 photoperiod_2 flow_2 temp_diff_2",1,1,1,0,1,0,0,-891.748622012992,1846.0734213113,30,81,TRUE,2.17,0.34,0.03,0.43
"function102"," resid_2 photoperiod_2 flow_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",1,1,1,0,1,0,1,-890.807490178528,1846.36671406025,31,87,TRUE,2.46,0.29,0.03,0.46
"function10"," resid_2 temp_diff_2",1,0,0,0,1,0,0,-894.173780715551,1846.59065535375,28,74,TRUE,2.69,0.26,0.03,0.49
"function51"," photoperiod_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",0,1,0,0,1,0,1,-893.161655300012,1846.72994960417,29,82,TRUE,2.83,0.24,0.02,0.51
"function31"," resid_2 photoperiod_2 flow_diff_2",1,1,0,0,1,1,0,-893.278228040231,1846.96309508461,29,91,TRUE,3.06,0.22,0.02,0.53
"function104"," resid_2 photoperiod_2 lunar_phase_2 temp_diff_2 flow_diff_2",1,1,0,1,1,1,0,-891.182505761524,1847.11674522624,31,87,TRUE,3.21,0.2,0.02,0.55
"function29"," resid_2 photoperiod_2 lunar_phase_2",1,1,0,1,1,0,0,-893.367725287653,1847.14208957945,29,75,TRUE,3.24,0.2,0.02,0.57
"function15"," photoperiod_2 temp_diff_2",0,1,0,0,1,0,0,-894.469957245846,1847.18300841434,28,69,TRUE,3.28,0.19,0.02,0.59
"function32"," resid_2 photoperiod_2 chinook0_hatchery_perhour_inp_2",1,1,0,0,1,0,1,-893.414043062706,1847.23472512956,29,79,TRUE,3.33,0.19,0.02,0.61
"function28"," resid_2 photoperiod_2 flow_2",1,1,1,0,1,0,0,-893.472693518121,1847.35202604039,29,99,TRUE,3.45,0.18,0.02,0.63
"function101"," resid_2 photoperiod_2 flow_2 temp_diff_2 flow_diff_2",1,1,1,0,1,1,0,-891.321091682761,1847.39391706871,31,90,TRUE,3.49,0.17,0.02,0.65
"function41"," resid_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",1,0,0,0,1,0,1,-893.567148538255,1847.54093608066,29,80,TRUE,3.64,0.16,0.02,0.66
"function123"," resid_2 photoperiod_2 lunar_phase_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,1,0,1,1,1,1,-890.405232964153,1847.74379926164,32,101,TRUE,3.84,0.15,0.01,0.68
"function98"," resid_2 photoperiod_2 flow_2 lunar_phase_2 temp_diff_2",1,1,1,1,1,0,0,-891.506494825399,1847.76472335399,31,92,TRUE,3.86,0.15,0.01,0.69
"function122"," resid_2 photoperiod_2 flow_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,1,1,0,1,1,1,-890.492313343872,1847.91796002108,32,119,TRUE,4.01,0.13,0.01,0.71
