"","c","atu","flow","lunar_phase","temperature_difference","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function43"," atu_solstice_2 flow_2 lunar_phase_2 coho1_hatchery_perhour_inp_2",1,1,1,0,0,1,-856.161021929542,1774.11567934607,30,87,TRUE,0,1,0.16,0.16
"function24"," atu_solstice_2 flow_2 coho1_hatchery_perhour_inp_2",1,1,0,0,0,1,-857.270274056236,1774.21684869051,29,68,TRUE,0.1,0.95,0.15,0.31
"function27"," atu_solstice_2 lunar_phase_2 coho1_hatchery_perhour_inp_2",1,0,1,0,0,1,-857.879188932982,1775.434678444,29,83,TRUE,1.32,0.52,0.08,0.39
"function10"," atu_solstice_2 coho1_hatchery_perhour_inp_2",1,0,0,0,0,1,-858.983472339084,1775.52998606412,28,73,TRUE,1.41,0.49,0.08,0.47
"function57"," atu_solstice_2 flow_2 lunar_phase_2 temp_diff_2 coho1_hatchery_perhour_inp_2",1,1,1,1,0,1,-855.807561830449,1775.53018157596,31,83,TRUE,1.41,0.49,0.08,0.55
"function58"," atu_solstice_2 flow_2 lunar_phase_2 flow_diff_2 coho1_hatchery_perhour_inp_2",1,1,1,0,1,1,-855.987856218806,1775.89077035267,31,81,TRUE,1.78,0.41,0.07,0.62
"function45"," atu_solstice_2 flow_2 temp_diff_2 coho1_hatchery_perhour_inp_2",1,1,0,1,0,1,-857.058126642941,1775.90988877286,30,84,TRUE,1.79,0.41,0.07,0.69
"function46"," atu_solstice_2 flow_2 flow_diff_2 coho1_hatchery_perhour_inp_2",1,1,0,0,1,1,-857.11304007385,1776.01971563468,30,89,TRUE,1.9,0.39,0.06,0.75
"function49"," atu_solstice_2 lunar_phase_2 flow_diff_2 coho1_hatchery_perhour_inp_2",1,0,1,0,1,1,-857.487491276423,1776.76861803983,30,91,TRUE,2.65,0.27,0.04,0.79
"function48"," atu_solstice_2 lunar_phase_2 temp_diff_2 coho1_hatchery_perhour_inp_2",1,0,1,1,0,1,-857.543480453636,1776.88059639425,30,76,TRUE,2.76,0.25,0.04,0.83
